Subset,Resolution,Pixel_Accuracy,Mean_IoU,Class_0_IoU,Class_1_IoU
kite,64,0.9633880713367371,0.62218773,0.96285564,0.28151977
kite,64,0.9663236314585124,0.6309737,0.9658407,0.29610667
kite,64,0.9611557804271028,0.6304655,0.9604968,0.3004343
kite,128,0.9665049707443242,0.67106384,0.96581364,0.37631404
kite,128,0.9689777118437501,0.65122443,0.968487,0.33396187
kite,128,0.971864500093127,0.683039,0.9713384,0.39473966
kite,128,0.965944910660691,0.6689981,0.96524155,0.37275463
kite,128,0.9708327077542172,0.686175,0.9702497,0.40210024
kite,256,0.9725256564701592,0.7007504,0.9719455,0.42955527
kite,256,0.973398731133189,0.703473,0.97284496,0.43410096
kite,256,0.9706788330145478,0.7002808,0.970014,0.43054754
kite,256,0.9735109629937305,0.7046435,0.97295606,0.4363309
kite,256,0.9687857945656887,0.6932471,0.96806866,0.41842553
kite,512,0.9712040844941664,0.6820133,0.9706555,0.39337108
kite,512,0.9686454529652004,0.69400364,0.9679164,0.42009088
kite,512,0.9730357020859187,0.7026288,0.97246885,0.4327887
kite,512,0.9697948139529102,0.70030457,0.9690864,0.43152276
kite,512,0.9715326713437801,0.69592595,0.97093177,0.4209202
